# Reference: Paur and Bass, 1985 Quadrennial Ozone Symposium, Halkidiki, Greece
# Comments : Compiled from data supplied by Michiel van Weele, KNMI, The Netherlands
# SIGMA = (C0 + C1*(T-T0) + C2*(T-T0)**2) * 1.E-20 cm^2
# where T0 = 273.13 and T is in Kelvin
#
# wavelength  
# (air nm)         C0          C1(T)       C2(T^2)
   259.811      1.06300e+03      3.33930e-02     -8.47810e-06
   259.861      1.06270e+03      4.29560e-02      3.12180e-04
   259.911      1.06450e+03     -9.41610e-03     -5.86560e-04
   259.961      1.06630e+03      1.40320e-02     -4.59150e-04
   260.011      1.07210e+03     -6.14290e-02     -2.13490e-03
   260.061      1.07140e+03      3.56910e-02      3.87580e-04
   260.111      1.07890e+03     -5.66000e-02     -4.65960e-04
   260.161      1.08470e+03     -1.37280e-01     -2.14970e-03
   260.211      1.09140e+03     -2.26040e-01     -3.68250e-03
   260.261      1.09040e+03     -7.31380e-02      8.13290e-04
   260.311      1.09770e+03     -2.41560e-01     -3.50680e-03
   260.361      1.10000e+03     -1.74210e-01     -9.52460e-04
   260.411      1.10390e+03     -1.85810e-01     -1.42790e-03
   260.461      1.10580e+03     -2.01330e-01     -1.18180e-03
   260.511      1.11090e+03     -2.66400e-01     -3.57750e-03
   260.561      1.10920e+03     -2.08010e-01     -1.57320e-03
   260.611      1.11120e+03     -2.19570e-01     -2.83280e-03
   260.661      1.10920e+03     -1.70180e-01     -1.04890e-03
   260.711      1.10420e+03     -7.89820e-02      2.48820e-05
   260.761      1.10210e+03     -9.80900e-03      1.52090e-03
   260.811      1.09700e+03     -5.96090e-02      5.67760e-04
   260.861      1.09360e+03     -1.02620e-02      1.20480e-03
   260.911      1.08840e+03     -3.61490e-02     -1.45070e-04
   260.961      1.08790e+03     -6.12280e-02     -1.69990e-03
   261.011      1.07980e+03      5.79420e-02      6.20350e-04
   261.061      1.07540e+03      5.15770e-02     -6.54840e-04
   261.111      1.06930e+03      6.39870e-02     -1.13190e-03
   261.161      1.06200e+03      1.02650e-01      6.05140e-04
   261.211      1.05950e+03      1.04330e-01     -1.73920e-04
   261.261      1.05370e+03      1.43700e-01      4.51870e-04
   261.311      1.05120e+03      7.95130e-02     -2.77040e-04
   261.361      1.04790e+03      6.66640e-02     -9.51670e-04
   261.411      1.04660e+03      1.49920e-02     -1.66100e-03
   261.461      1.04530e+03      4.81540e-02     -3.97630e-04
   261.511      1.04550e+03     -1.21350e-02     -3.00300e-03
   261.561      1.04200e+03      4.07550e-02     -1.49700e-04
   261.611      1.04120e+03      8.91810e-02      1.23140e-03
   261.661      1.04230e+03     -4.28450e-02     -1.71470e-03
   261.711      1.03940e+03      5.59690e-02      1.54560e-03
   261.761      1.04150e+03      2.98080e-02      1.27360e-03
   261.811      1.04570e+03     -4.72250e-02     -1.83230e-03
   261.861      1.04330e+03     -2.78460e-02     -3.23980e-04
   261.911      1.04670e+03     -5.47900e-02     -1.72930e-03
   261.961      1.04730e+03     -4.52100e-02     -2.65110e-04
   262.011      1.04750e+03     -3.68920e-02     -3.00860e-04
   262.061      1.04720e+03     -5.44030e-02      3.04480e-04
   262.111      1.05150e+03     -1.26990e-01     -6.05260e-04
   262.161      1.05470e+03     -1.03210e-01     -2.16180e-03
   262.211      1.05540e+03     -1.14150e-01     -8.93480e-04
   262.261      1.05680e+03     -1.31440e-01     -8.44090e-04
   262.311      1.06000e+03     -1.39530e-01     -1.83830e-03
   262.361      1.06180e+03     -1.52440e-01     -1.40400e-03
   262.411      1.06050e+03     -1.53740e-01     -3.21060e-03
   262.461      1.05970e+03     -8.74930e-02     -2.23880e-03
   262.511      1.05570e+03     -1.38050e-01     -1.31410e-03
   262.561      1.05320e+03     -1.35130e-01     -3.08700e-03
   262.611      1.04830e+03     -5.97730e-02     -2.27970e-03
   262.661      1.04630e+03     -8.55220e-02     -3.87290e-03
   262.711      1.04220e+03     -9.23880e-02     -3.90570e-03
   262.761      1.03370e+03      1.47640e-02     -2.01400e-03
   262.811      1.03140e+03     -3.50850e-02     -3.88080e-03
   262.861      1.02470e+03      3.91390e-02     -2.87630e-03
   262.911      1.01800e+03      1.62920e-02     -3.45030e-03
   262.961      1.01050e+03      7.42030e-02     -2.32870e-03
   263.011      1.00830e+03      3.55960e-02     -3.25760e-03
   263.061      1.00440e+03      2.21250e-02     -3.80560e-03
   263.111      1.00020e+03      2.36490e-02     -3.26010e-03
   263.161      9.96970e+02      1.14890e-01     -1.39770e-03
   263.211      9.94320e+02      7.04950e-02     -2.65990e-03
   263.261      9.92220e+02      8.15900e-02     -2.20770e-03
   263.311      9.88530e+02      6.75020e-02     -1.24290e-03
   263.361      9.86540e+02     -5.53130e-03     -2.66530e-03
   263.411      9.86300e+02      5.46410e-02     -1.94200e-03
   263.461      9.81880e+02      9.90170e-02     -7.95460e-04
   263.511      9.87140e+02     -8.92520e-02     -4.81270e-03
   263.561      9.85930e+02     -1.56850e-02     -2.96520e-03
   263.611      9.87900e+02     -4.86160e-02     -2.75490e-03
   263.661      9.84540e+02     -7.19520e-03      9.07770e-05
   263.711      9.89990e+02     -9.31240e-02     -3.12110e-03
   263.761      9.90740e+02     -1.11360e-01     -2.43610e-03
   263.811      9.91380e+02     -1.01420e-01     -1.93470e-03
   263.861      9.93880e+02     -2.09710e-01     -3.51250e-03
   263.911      9.95210e+02     -1.87040e-01     -2.99790e-03
   263.961      1.00010e+03     -2.21850e-01     -3.77120e-03
   264.011      9.97920e+02     -1.66280e-01     -1.88370e-03
   264.061      9.98230e+02     -6.98090e-02     -4.73340e-04
   264.111      1.00150e+03     -9.63730e-02     -7.42140e-04
   264.161      1.00290e+03     -1.71280e-01     -2.28550e-03
   264.211      1.00360e+03     -1.71450e-01     -2.61310e-03
   264.261      1.00520e+03     -2.24590e-01     -3.35960e-03
   264.311      1.00620e+03     -1.94680e-01     -3.66200e-03
   264.361      1.00300e+03     -1.18020e-01     -1.63190e-03
   264.411      1.00280e+03     -1.82340e-01     -3.08840e-03
   264.461      1.00270e+03     -1.47130e-01     -3.27380e-03
   264.511      9.98230e+02     -7.53670e-02     -1.67200e-03
   264.561      9.98190e+02     -1.68040e-01     -4.20670e-03
   264.611      9.94380e+02     -1.40320e-01     -4.83280e-03
   264.661      9.88100e+02     -9.40340e-02     -3.45490e-03
   264.711      9.83010e+02      1.05180e-02     -2.44180e-03
   264.761      9.78180e+02     -3.54430e-02     -3.64980e-03
   264.811      9.70640e+02      8.19240e-02     -1.12750e-03
   264.861      9.66610e+02      2.53650e-02     -3.67800e-03
   264.911      9.58960e+02      3.31660e-02     -1.94170e-03
   264.961      9.55890e+02      5.45920e-02     -3.10810e-03
   265.011      9.56520e+02      2.54340e-02     -3.54540e-03
   265.061      9.54980e+02      3.06410e-03     -4.01430e-03
   265.111      9.50120e+02      5.79870e-02     -9.02210e-04
   265.161      9.50500e+02      4.06470e-02     -1.47570e-03
   265.211      9.49180e+02      2.46230e-02     -8.46730e-04
   265.261      9.53620e+02      3.29100e-02     -1.64500e-03
   265.311      9.51410e+02      3.02850e-02     -1.09760e-04
   265.361      9.55970e+02     -5.44850e-03     -7.11600e-04
   265.411      9.59350e+02     -1.48000e-01     -3.25610e-03
   265.461      9.55130e+02      9.73530e-03     -6.10440e-05
   265.511      9.56970e+02     -1.25330e-01     -2.11670e-03
   265.561      9.61400e+02     -2.03450e-01     -4.93160e-03
   265.611      9.54020e+02     -1.02590e-02     -4.21030e-04
   265.661      9.51740e+02     -3.40570e-02     -7.24050e-04
   265.711      9.48500e+02      7.19780e-02      8.18410e-04
   265.761      9.45470e+02      5.98030e-02      1.22220e-03
   265.811      9.48510e+02     -9.65530e-03     -1.48600e-04
   265.861      9.46470e+02     -1.15660e-01     -3.42750e-03
   265.911      9.39680e+02     -2.22930e-02     -1.11610e-03
   265.961      9.39460e+02     -5.46550e-02     -2.32270e-03
   266.011      9.32620e+02      7.91730e-02     -1.43750e-04
   266.061      9.32840e+02     -3.84800e-02     -7.99040e-04
   266.111      9.30320e+02     -5.70960e-02     -2.62010e-03
   266.161      9.27510e+02     -8.64940e-02     -2.96980e-03
   266.211      9.23330e+02      1.97770e-02     -1.02420e-03
   266.261      9.20110e+02      7.66770e-02      3.35640e-04
   266.311      9.21420e+02     -1.27470e-02     -1.75560e-03
   266.361      9.16300e+02      9.85600e-02      7.48990e-04
   266.411      9.15910e+02     -7.57580e-02     -1.82930e-03
   266.461      9.07510e+02      1.83840e-01      4.74860e-03
   266.511      9.07100e+02      1.17150e-01      1.43760e-03
   266.561      9.05050e+02      8.43210e-02      7.50810e-04
   266.611      9.00950e+02      1.23740e-01      2.83730e-03
   266.661      8.96310e+02      8.57630e-02      7.45280e-04
   266.711      8.89070e+02      1.63510e-01      2.12200e-03
   266.761      8.84690e+02      1.55370e-01      2.03220e-03
   266.811      8.80850e+02      1.71030e-01      2.12990e-03
   266.861      8.74490e+02      2.23870e-01      2.17030e-03
   266.911      8.74350e+02      7.25420e-02     -5.83980e-04
   266.961      8.72030e+02      9.44440e-02     -6.27290e-04
   267.011      8.69310e+02      1.16370e-01     -4.75010e-04
