# Reference      : Molina and Molina, JGR, vol. 91, pp 14501-14508, 1986 
# Comments       : Table 1 in Molina and Molina (1986), got this from
# Comments       : Tapani Koskela, FMI, Finland, thanks.
#lambda	226K	263K	298K
#
625.0   0.36000   0.36000  0.36000  
626.0   0.35700   0.35700  0.35700  
627.0   0.35300   0.35300  0.35300  
628.0   0.35000   0.35000  0.35000  
629.0   0.34600   0.34600  0.34600  
630.0   0.34300   0.34300  0.34300  
631.0   0.33800   0.33800  0.33800  
632.0   0.33300   0.33300  0.33300  
633.0   0.32700   0.32700  0.32700  
634.0   0.32200   0.32200  0.32200  
635.0   0.31700   0.31700  0.31700  
636.0   0.30800   0.30800  0.30800  
637.0   0.30000   0.30000  0.30000  
638.0   0.29100   0.29100  0.29100  
639.0   0.28300   0.28300  0.28300  
640.0   0.27400   0.27400  0.27400  
641.0   0.27100   0.27100  0.27100  
642.0   0.26900   0.26900  0.26900  
643.0   0.26600   0.26600  0.26600  
644.0   0.26400   0.26400  0.26400  
645.0   0.26100   0.26100  0.26100  
646.0   0.25700   0.25700  0.25700  
647.0   0.25300   0.25300  0.25300  
648.0   0.25000   0.25000  0.25000  
649.0   0.24600   0.24600  0.24600  
650.0   0.24200   0.24200  0.24200  
651.0   0.23800   0.23800  0.23800  
652.0   0.23300   0.23300  0.23300  
653.0   0.22900   0.22900  0.22900  
654.0   0.22400   0.22400  0.22400  
655.0   0.22000   0.22000  0.22000  
656.0   0.21600   0.21600  0.21600  
657.0   0.21300   0.21300  0.21300  
658.0   0.20900   0.20900  0.20900  
659.0   0.20600   0.20600  0.20600  
660.0   0.20200   0.20200  0.20200  
661.0   0.19900   0.19900  0.19900  
662.0   0.19500   0.19500  0.19500  
663.0   0.19200   0.19200  0.19200  
664.0   0.18800   0.18800  0.18800  
665.0   0.18500   0.18500  0.18500  
666.0   0.18100   0.18100  0.18100  
667.0   0.17800   0.17800  0.17800  
668.0   0.17400   0.17400  0.17400  
669.0   0.17100   0.17100  0.17100  
670.0   0.16700   0.16700  0.16700  
671.0   0.16400   0.16400  0.16400  
672.0   0.16200   0.16200  0.16200  
673.0   0.15900   0.15900  0.15900  
674.0   0.15700   0.15700  0.15700  
675.0   0.15400   0.15400  0.15400  
676.0   0.15200   0.15200  0.15200  
677.0   0.14900   0.14900  0.14900  
678.0   0.14700   0.14700  0.14700  
679.0   0.14400   0.14400  0.14400  
680.0   0.14200   0.14200  0.14200  
681.0   0.13900   0.13900  0.13900  
682.0   0.13500   0.13500  0.13500  
683.0   0.13200   0.13200  0.13200  
684.0   0.12800   0.12800  0.12800  
685.0   0.12500   0.12500  0.12500  
686.0   0.12200   0.12200  0.12200  
687.0   0.12000   0.12000  0.12000  
688.0   0.11700   0.11700  0.11700  
689.0   0.11500   0.11500  0.11500  
690.0   0.11200   0.11200  0.11200  
691.0   0.11000   0.11000  0.11000  
692.0   0.10800   0.10800  0.10800  
693.0   0.10600   0.10600  0.10600  
694.0   0.10400   0.10400  0.10400  
695.0   0.10200   0.10200  0.10200  
696.0   0.10000   0.10000  0.10000  
697.0   0.09800   0.09800  0.09800  
698.0   0.09600   0.09600  0.09600  
699.0   0.09400   0.09400  0.09400  
700.0   0.09200   0.09200  0.09200  
701.0   0.09040   0.09040  0.09040  
702.0   0.08880   0.08880  0.08880  
703.0   0.08720   0.08720  0.08720  
704.0   0.08560   0.08560  0.08560  
705.0   0.08400   0.08400  0.08400  
706.0   0.08260   0.08260  0.08260  
707.0   0.08120   0.08120  0.08120  
708.0   0.07980   0.07980  0.07980  
709.0   0.07840   0.07840  0.07840  
710.0   0.07700   0.07700  0.07700  
711.0   0.07540   0.07540  0.07540  
712.0   0.07380   0.07380  0.07380  
713.0   0.07220   0.07220  0.07220  
714.0   0.07060   0.07060  0.07060  
715.0   0.06900   0.06900  0.06900  
716.0   0.06780   0.06780  0.06780  
717.0   0.06660   0.06660  0.06660  
718.0   0.06540   0.06540  0.06540  
719.0   0.06420   0.06420  0.06420  
720.0   0.06300   0.06300  0.06300  
721.0   0.06180   0.06180  0.06180  
722.0   0.06060   0.06060  0.06060  
723.0   0.0594    0.0594   0.0594   
724.0   0.0582    0.0582   0.0582   
725.0   0.0570    0.0570   0.0570   
726.0   0.0561    0.0561   0.0561   
727.0   0.0552    0.0552   0.0552   
728.0   0.0543    0.0543   0.0543   
729.0   0.0534    0.0534   0.0534   
730.0   0.0525    0.0525   0.0525   
731.0   0.0515    0.0515   0.0515   
732.0   0.0505    0.0505   0.0505   
733.0   0.0495    0.0495   0.0495   
734.0   0.0485    0.0485   0.0485   
735.0   0.0475    0.0475   0.0475   
736.0   0.0469    0.0469   0.0469   
737.0   0.0464    0.0464   0.0464   
738.0   0.0458    0.0458   0.0458   
739.0   0.0453    0.0453   0.0453   
740.0   0.0447    0.0447   0.0447   
741.0   0.0442    0.0442   0.0442   
742.0   0.0436    0.0436   0.0436   
743.0   0.0431    0.0431   0.0431   
744.0   0.0425    0.0425   0.0425   
745.0   0.0420    0.0420   0.0420   
