# Wahner etal, J.Phys.Chem.91, 2734(1987)
#
#           cross section (cm^2) at T(K)
#lambda   204       296       378
# nm  		            
288.80  7.698e-19 7.161e-19 9.505e-19
289.01  7.643e-19 6.781e-19 9.371e-19
289.23  7.939e-19 6.689e-19 9.351e-19
289.45  8.177e-19 6.809e-19 9.420e-19
289.67  8.456e-19 6.973e-19 9.524e-19
289.88  8.703e-19 7.179e-19 9.697e-19
290.10  9.271e-19 7.378e-19 9.928e-19
290.32  9.894e-19 7.864e-19 1.028e-18
290.54  1.080e-18 8.258e-19 1.066e-18
290.75  1.270e-18 9.134e-19 1.153e-18
290.97  1.368e-18 1.051e-18 1.235e-18
291.19  1.348e-18 1.114e-18 1.271e-18
291.41  1.325e-18 1.137e-18 1.291e-18
291.62  1.305e-18 1.148e-18 1.309e-18
291.84  1.207e-18 1.134e-18 1.287e-18
292.06  1.104e-18 1.063e-18 1.236e-18
292.28  1.037e-18 1.002e-18 1.193e-18
292.49  1.000e-18 9.376e-19 1.164e-18
292.71  9.408e-19 9.118e-19 1.129e-18
292.93  8.913e-19 8.642e-19 1.095e-18
293.15  8.573e-19 8.133e-19 1.067e-18
293.36  8.643e-19 7.971e-19 1.064e-18
293.58  8.671e-19 7.917e-19 1.047e-18
293.80  8.835e-19 7.810e-19 1.056e-18
294.01  9.198e-19 7.934e-19 1.050e-18
294.23  1.003e-18 8.119e-19 1.079e-18
294.45  1.086e-18 8.745e-19 1.133e-18
294.67  1.183e-18 9.367e-19 1.176e-18
294.88  1.420e-18 1.022e-18 1.271e-18
295.10  1.711e-18 1.213e-18 1.437e-18
295.32  1.771e-18 1.407e-18 1.523e-18
295.54  1.707e-18 1.461e-18 1.546e-18
295.75  1.743e-18 1.446e-18 1.570e-18
295.97  1.855e-18 1.520e-18 1.648e-18
296.19  1.748e-18 1.585e-18 1.655e-18
296.41  1.542e-18 1.520e-18 1.600e-18
296.62  1.379e-18 1.384e-18 1.520e-18
296.84  1.269e-18 1.292e-18 1.451e-18
297.06  1.160e-18 1.195e-18 1.389e-18
297.28  1.056e-18 1.107e-18 1.328e-18
297.49  9.780e-19 1.029e-18 1.271e-18
297.71  9.240e-19 9.548e-19 1.229e-18
297.93  9.015e-19 9.072e-19 1.183e-18
298.15  8.962e-19 8.802e-19 1.167e-18
298.36  9.018e-19 8.699e-19 1.162e-18
298.58  9.128e-19 8.671e-19 1.151e-18
298.80  9.162e-19 8.565e-19 1.140e-18
299.02  1.001e-18 8.642e-19 1.180e-18
299.23  1.146e-18 9.312e-19 1.221e-18
299.45  1.434e-18 1.035e-18 1.315e-18
299.67  1.961e-18 1.248e-18 1.522e-18
299.88  2.395e-18 1.628e-18 1.781e-18
300.10  2.506e-18 1.909e-18 1.934e-18
300.32  2.595e-18 2.055e-18 2.049e-18
300.54  2.584e-18 2.160e-18 2.119e-18
300.75  2.412e-18 2.193e-18 2.134e-18
300.97  2.183e-18 2.100e-18 2.066e-18
301.19  2.048e-18 1.979e-18 2.018e-18
301.41  1.915e-18 1.897e-18 1.959e-18
301.62  1.678e-18 1.787e-18 1.863e-18
301.84  1.484e-18 1.624e-18 1.746e-18
302.06  1.335e-18 1.465e-18 1.659e-18
302.28  1.217e-18 1.355e-18 1.582e-18
302.49  1.093e-18 1.250e-18 1.494e-18
302.71  9.931e-19 1.147e-18 1.428e-18
302.93  9.223e-19 1.062e-18 1.362e-18
303.15  8.872e-19 9.885e-19 1.310e-18
303.36  8.648e-19 9.408e-19 1.271e-18
303.58  8.475e-19 9.011e-19 1.239e-18
